p,d,q,P,D,Q,m,bic
3,1,2,2,1,2,12,427.56528421366954
3,1,3,0,1,0,12,651.2181500488675
3,1,3,0,1,1,12,406.9874225124222
3,1,3,0,1,2,12,402.77456856080516
3,1,3,1,1,0,12,524.660887478882
3,1,3,1,1,1,12,446.39702096541725
3,1,3,1,1,2,12,401.82017641337177
3,1,3,2,1,0,12,455.6172629772161
3,1,3,2,1,1,12,411.3414554603328
3,1,3,2,1,2,12,426.278583059256
